pid,hhd,relationship,age,age-group,gender,income,income-group,education,education-level,edu-year,edu-year-required,status,number,hhd-income,hhd-income-group,license,traffic,max-friend,min-friend,my-score,district,livelong,livelat,wslong,wslat,flexible,mandatory,residence-size,residence-cost,current-accessibility,move,marriage,divorce,birth,death,work,study,immigration,candidate-ws-dis,current-ws-dis,weekday-shopping,weekday-leisure,weekend-shopping,weekend-leisure,distance-max
1,1,1,31,3,0,150000,0,8,4,0,0,2,1,150000,0,0,0,19,8,0,0,113.9863711,22.5576736,113.9045836,22.80055712,0,0,1,2451600,0,0,0,0,0,0,0,0,0,0,117.9533695,3,2,1,1,10
2,2,1,26,3,0,150000,0,8,4,0,0,2,1,150000,0,0,0,40,20,0,0,114.0468184,22.53617496,114.3403352,22.679758,0,0,1,2513700,0,0,0,0,0,0,0,0,0,0,150.3867088,0,1,1,1,10
3,3,1,34,3,0,150000,0,8,4,0,0,2,1,150000,0,0,0,2,1,0,0,113.9307944,22.49371005,113.9308077,22.63613148,0,0,1,2497500,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,75
4,4,1,29,3,0,150000,0,8,4,0,0,2,1,150000,0,0,0,40,20,0,0,113.912992,22.5348174,113.9234122,22.52390294,0,0,1,1832400,0,0,0,0,0,0,0,0,0,0,6.945055711,1,1,1,1,10
5,5,1,27,3,0,150000,0,8,4,0,0,2,1,150000,0,0,0,19,8,0,0,114.0285468,22.56929008,114.0280747,22.56038858,0,0,1,2103300,0,0,0,0,0,0,0,0,0,0,4.102623149,8,2,1,1,10
6,6,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9305493,22.50677465,113.9180058,22.51905186,0,0,1,2547450,0,0,0,0,0,0,0,0,0,0,8.078164393,10,4,3,2,10
7,7,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,8,2,0,0,113.9530413,22.57404856,113.9187309,22.57620516,0,0,1,1890000,0,0,0,0,0,0,0,0,0,0,15.822332,8,4,1,2,25
8,8,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.9604081,22.59344042,114.2225624,22.61654006,0,0,1,2295000,0,0,0,0,0,0,0,0,0,0,121.1225316,10,5,1,2,10
9,9,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.1355471,22.55109677,114.132336,22.54514773,0,0,1,1768500,0,0,0,0,0,0,0,0,0,0,3.111409947,2,3,0,2,10
10,10,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0459589,22.56174254,113.8992632,22.73667783,0,0,1,2103300,0,0,0,0,0,0,0,0,0,0,105.0748942,3,5,1,1,10
11,11,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9216623,22.54510949,113.9307782,22.54961563,0,0,1,2791800,0,0,0,0,0,0,0,0,0,0,4.680142918,5,5,1,1,10
12,12,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0858786,22.55626271,114.1204576,22.57562507,0,0,1,2879820,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,50
13,13,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0204046,22.53807139,113.9858977,22.52447402,0,0,1,2409635,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,50
14,14,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,114.0726867,22.53441951,114.0449931,22.70374768,0,0,1,2259900,0,0,0,0,0,0,0,0,0,0,78.96774886,1,4,3,1,10
15,15,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9122957,22.51269682,114.4705804,22.59544343,0,0,1,2631600,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,10
16,16,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0884063,22.54678497,113.884839,22.81101354,0,0,1,2515757,0,0,0,0,0,0,0,0,0,0,153.5150505,1,1,0,1,10
17,17,1,28,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0843588,22.56470925,114.0975068,22.5648681,0,0,1,1760400,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,10
18,18,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,113.9477232,22.53044909,113.9070047,22.73201308,0,0,1,2636037,0,0,0,0,0,0,0,0,0,0,94.64267162,5,4,2,2,10
19,19,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.8922297,22.54960966,113.8471295,22.77254999,0,0,1,2659500,0,0,0,0,0,0,0,0,0,0,104.6855342,0,2,4,2,10
20,20,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,114.049334,22.62386555,114.0527624,22.63151064,0,0,1,1574100,0,0,0,0,0,0,0,0,0,0,3.856214246,4,4,4,0,25
21,21,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,113.9725439,22.55005074,113.9771094,22.55295138,0,0,1,2697300,0,0,0,0,0,0,0,0,0,0,2.489471269,0,3,2,1,25
22,22,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0345766,22.5654001,114.3678612,22.73955335,0,0,1,2190267,0,0,0,0,0,0,0,0,0,0,173.0714569,0,1,3,0,10
23,23,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.871036,22.56064904,113.8856787,22.54932036,0,0,1,2346300,0,0,0,0,0,0,0,0,0,0,8.520709071,1,4,1,0,10
24,24,1,28,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.8539062,22.57822354,113.860603,22.57924996,0,0,1,2160000,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,10
25,25,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.8845256,22.55733132,114.214763,22.67006742,0,0,1,2311200,0,0,0,0,0,0,0,0,0,0,160.6023192,5,5,0,1,25
