HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
1475,113.8845256,22.55733132,114.1135575,22.61516135,0,0,0,0,0,2,0
3571,113.9081022,22.57355042,114.2380233,22.56195234,0,0,0,0,0,5,0
2368,114.1248603,22.59405869,114.1033987,22.61835075,0,0,0,0,0,5,0
3518,113.8594394,22.61901935,113.8533064,22.75537504,0,0,0,0,0,1,0
798,113.8678879,22.5713629,113.8213466,22.68751168,0,0,0,0,0,2,0
232,114.0173094,22.62430723,114.1014403,22.62834855,0,0,0,0,0,5,0
1082,114.0060361,22.64477552,114.1060677,22.6003475,0,0,0,0,0,5,0
363,114.1351301,22.58489774,114.2774409,22.72813883,0,0,0,0,0,3,0
1876,113.8885816,22.57839234,114.364301,22.74693896,0,0,0,0,0,5,0
686,114.0090737,22.63994719,114.1870302,22.65538061,0,0,0,0,0,1,0
1591,114.0424233,22.68753666,114.1114102,22.60452048,0,0,0,0,0,1,0
1815,114.0424233,22.68753666,114.0380729,22.65203364,0,0,0,0,0,1,0
1404,113.880545,22.56089154,113.9615437,22.55189256,0,0,0,0,0,4,0
640,114.0060361,22.64477552,114.1388049,22.61204261,0,0,0,0,0,5,0
471,113.8746316,22.55197004,114.2965968,22.77149148,0,0,0,0,0,2,0
1701,113.9657245,22.55509926,114.2483577,22.72462565,0,0,0,0,0,1,0
304,113.8746316,22.55197004,114.2756256,22.75022902,0,0,0,0,0,5,0
180,113.8236042,22.71840044,114.1043035,22.58652143,0,0,0,0,0,2,0
1952,114.03878,22.60185337,114.1655823,22.63742314,0,0,0,0,0,4,0
913,113.9011316,22.78291302,114.1551732,22.61770613,0,0,0,0,0,2,0
1551,113.883369,22.59400215,114.1038279,22.60815141,0,0,0,0,0,2,0
191,114.0060361,22.64477552,114.2609681,22.59084355,0,0,0,0,0,1,0
319,114.3350117,22.70546672,114.1535431,22.55858495,0,0,0,0,0,3,0
789,114.0060361,22.64477552,114.1505862,22.60657466,0,0,0,0,0,6,0
2432,114.0358301,22.70436869,114.1474494,22.62468159,0,0,0,0,0,5,0
2492,113.883369,22.59400215,114.1249922,22.69986308,0,0,0,0,0,3,0
1798,114.03878,22.60185337,114.1281667,22.69269459,0,0,0,0,0,4,0
1260,113.9299459,22.74871131,113.8828341,22.76829712,0,0,0,0,0,2,0
558,113.7721529,22.6885906,114.1163171,22.68047672,0,0,0,0,0,3,0
1295,113.8591147,22.57989424,114.1467551,22.61262755,0,0,0,0,0,3,0
1714,113.8886117,22.77684509,114.1612636,22.61026465,0,0,0,0,0,2,0
2430,113.9243591,22.73817724,114.0580154,22.62604388,0,0,0,0,0,3,0
396,113.9299459,22.74871131,114.2918596,22.7332325,0,0,0,0,0,2,0
2453,113.8840849,22.55088219,113.8684735,22.58431758,0,0,0,0,0,2,0
1158,113.883369,22.59400215,113.9218421,22.59078246,0,0,0,0,0,2,0
