pid,livelong,livelat
1,114.1335832,22.62485819
2,114.0154736,22.65448952
3,114.0518669,22.60421052
4,113.8846552,22.58885046
5,114.0173094,22.62430723
6,113.8289193,22.71956443
7,114.104805,22.59048458
8,114.201737,22.70969063
9,114.0518669,22.60421052
10,114.0358301,22.70436869
11,114.201737,22.70969063
12,113.8511874,22.57309821
13,114.03878,22.60185337
14,113.979472,22.5621445
15,113.9011316,22.78291302
16,113.8947251,22.57459705
17,113.8511874,22.57309821
18,113.8236042,22.71840044
19,113.9299459,22.74871131
20,114.03878,22.60185337
21,113.8289193,22.71956443
22,114.0239956,22.64331109
23,113.8505256,22.57003332
24,114.1220831,22.59238119
25,114.0518669,22.60421052
26,113.9653754,22.56215852
27,113.8522069,22.6141377
28,113.9299459,22.74871131
29,114.0652697,22.54712177
30,113.9696668,22.55952746
31,113.8289193,22.71956443
32,113.8289193,22.71956443
33,113.9083037,22.57794579
34,114.0521542,22.71887003
35,114.025783,22.64965565
36,113.8485196,22.57678478
37,113.8865032,22.57412312
38,114.0463786,22.62462621
39,113.8289193,22.71956443
40,113.8591147,22.57989424
41,114.1335832,22.62485819
42,113.8505256,22.57003332
43,113.9367698,22.75570779
44,114.0060361,22.64477552
45,114.0785614,22.54044272
46,113.8984836,22.57376001
47,114.0842514,22.57459896
48,113.8361658,22.64005263
49,113.9917714,22.53415387
50,114.0239956,22.64331109
51,113.8289193,22.71956443
52,113.8505256,22.57003332
53,114.0173094,22.62430723
54,114.0427627,22.53393209
55,114.0173094,22.62430723
56,113.9243591,22.73817724
57,113.8289193,22.71956443
58,114.1335832,22.62485819
59,113.8522069,22.6141377
60,113.8746316,22.55197004
61,114.0173094,22.62430723
62,113.8832089,22.78014068
63,114.0224392,22.63876677
64,113.9299459,22.74871131
65,114.0509316,22.56414593
66,113.8746316,22.55197004
67,113.8847797,22.57238172
68,113.8505256,22.57003332
69,113.8289193,22.71956443
70,114.0060361,22.64477552
71,113.8485196,22.57678478
72,114.03878,22.60185337
73,113.8511874,22.57309821
74,114.0173094,22.62430723
75,113.8600693,22.61680203
76,113.9299459,22.74871131
77,113.8885816,22.57839234
78,113.8854816,22.58430443
79,114.1379787,22.55034631
80,114.0037582,22.53790479
81,113.8886117,22.77684509
82,114.0424233,22.68753666
83,114.0060361,22.64477552
84,113.8593418,22.62832393
85,114.1755856,22.56097261
86,114.0182988,22.63196421
87,114.0494119,22.72452175
88,114.0719223,22.66166336
89,114.0909507,22.57035482
90,113.8998904,22.580372
91,113.8522069,22.6141377
92,113.8845256,22.55733132
93,113.9094662,22.56709149
94,114.0173094,22.62430723
95,114.0173094,22.62430723
96,114.0173094,22.62430723
97,113.9029163,22.57014649
98,113.8505256,22.57003332
99,114.041099,22.60560235
100,113.9040543,22.57707871
101,113.883369,22.59400215
102,114.0261157,22.63404516
103,114.0518669,22.60421052
104,114.025783,22.64965565
105,113.9299459,22.74871131
106,114.1034408,22.56883008
107,114.0227262,22.66113226
108,113.9299459,22.74871131
109,114.041099,22.60560235
110,113.8522069,22.6141377
111,114.03878,22.60185337
112,114.1309326,22.58914446
113,113.8885816,22.57839234
114,113.8845256,22.55733132
115,113.8786763,22.56727357
116,114.201737,22.70969063
117,113.890645,22.57484146
118,113.890645,22.57484146
119,113.9040543,22.57707871
120,113.8289193,22.71956443
121,113.8522069,22.6141377
122,113.8178167,22.73212112
123,113.891709,22.56091576
124,113.8507985,22.7636276
125,113.9299459,22.74871131
126,113.8522069,22.6141377
127,114.03878,22.60185337
128,114.03878,22.60185337
129,113.8746316,22.55197004
130,113.9670167,22.5555286
131,113.8885816,22.57839234
132,113.811802,22.66183387
133,113.8845256,22.55733132
134,114.0060361,22.64477552
135,113.8678879,22.5713629
136,113.9383125,22.57746684
137,114.03878,22.60185337
138,113.8505256,22.57003332
139,114.0927183,22.56881571
140,113.8289193,22.71956443
141,113.9299459,22.74871131
142,114.1701289,22.57016194
143,114.0504754,22.52944558
144,114.0126279,22.63442864
145,114.1103547,22.53694276
146,113.8522069,22.6141377
147,114.201737,22.70969063
148,113.8998904,22.580372
149,113.8591147,22.57989424
150,113.8591147,22.57989424
151,113.8522069,22.6141377
152,113.8885816,22.57839234
153,114.0270318,22.64049941
154,114.0060361,22.64477552
155,113.8289193,22.71956443
156,114.1081865,22.54774988
157,114.040472,22.62411838
158,114.0283921,22.6298931
159,114.103947,22.55162521
160,114.03878,22.60185337
161,114.0060361,22.64477552
162,114.0233353,22.66876881
163,113.9040543,22.57707871
164,114.1248603,22.59405869
165,113.8522069,22.6141377
166,113.8933541,22.58630872
167,113.9299459,22.74871131
168,113.8505256,22.57003332
169,114.025783,22.64965565
170,113.8288835,22.685504
171,114.063936,22.54700848
172,114.0060361,22.64477552
173,114.2704605,22.74908238
174,113.7913371,22.73468193
175,113.9188922,22.57944395
176,114.0173094,22.62430723
177,113.8493022,22.59437716
178,114.0151204,22.63547529
179,114.0190381,22.52747006
180,113.8236042,22.71840044
181,113.9299459,22.74871131
182,113.8865032,22.57412312
183,114.0182988,22.63196421
184,114.2306448,22.56149473
185,113.9196572,22.51147003
186,113.8016913,22.72411911
