OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
453, 113.7931053, 22.67053428, 231629.58450359857, 1
435, 113.9211685, 22.48956803, 1967328, -24
384, 114.1121549, 22.56746314, 1134624, -1
402, 113.8728609, 22.57745346, 554267.7290262241, 2
201, 114.0268061, 22.53253681, 937050, -2
821, 114.1361528, 22.54496138, 1389394, -3
879, 113.8965647, 22.76362671, 894912, 0
901, 114.0280747, 22.56038858, 930925, 0
68, 113.8276875, 22.72981511, 986400, 0
475, 113.838392, 22.58838925, 300421.2405841857, 1
289, 113.9461099, 22.74568305, 194227.6906857839, 2
366, 114.2247268, 22.55089246, 1326039, -3
968, 114.0595264, 22.66399326, 995328, 0
436, 114.102483, 22.54850495, 682479, -1
727, 113.8790227, 22.59653042, 1098892.7362, 1
586, 113.9303011, 22.51106117, 590948.1086828124, 1
465, 114.055827, 22.52545213, 626430, -1
708, 114.1032037, 22.61256999, 1233950, -3
134, 114.3122933, 22.69246974, 1116224, -5
252, 114.2099445, 22.70807763, 1228290, -1
91, 114.1354918, 22.55227385, 965312, 0
994, 114.0831677, 22.5592743, 257313.45762883622, 1
564, 114.3967988, 22.75156799, 828161, 0
865, 114.0383256, 22.73710796, 354139.639085261, 1
948, 114.5420542, 22.48906859, 193268.13378733353, 1
340, 113.9524126, 22.5405666, 2.6124561207162E7, 0
917, 114.1323425, 22.59939517, 1396842, -1
123, 114.0765478, 22.62515275, 381692.50859565916, 2
579, 114.2182204, 22.64907737, 343937.82821992016, 2
61, 114.0573383, 22.6047373, 508320, -2
757, 114.3616178, 22.68870689, 297216.37643785344, 1
328, 114.0503059, 22.5483735, 1113738, 0
236, 113.977303, 22.72436538, 1049720, -4
249, 114.2914818, 22.58892502, 1226448, 0
842, 113.8200876, 22.70560139, 168530.0646727157, 2
253, 114.0139728, 22.75095175, 685672, -4
251, 114.2792508, 22.66839408, 1129740, -4
44, 113.9228696, 22.69469437, 999870, 0
166, 114.0426671, 22.54364914, 908220, 0
729, 114.3215746, 22.70437613, 843150, -5
225, 114.0313923, 22.74005973, 238141.12279822733, 1
642, 114.1354023, 22.63396417, 107334.40668494481, 1
758, 114.2834069, 22.66229613, 1257382, -2
998, 113.8319797, 22.6725188, 860751.5935321874, 1
848, 114.2829847, 22.67126173, 366383.8977542627, 2
346, 114.1242908, 22.59420024, 1082084, 0
488, 113.8761848, 22.79295095, 531765, -1
650, 114.1266964, 22.55171362, 821750, -1
606, 114.0252461, 22.56778933, 1023876, 0
275, 114.0582017, 22.70814865, 1498127.4, -184
237, 114.2647351, 22.7062861, 166746.6393115819, 2
17, 114.5410021, 22.49485632, 1216584, 0
369, 114.1319117, 22.61247265, 421646.12313401373, 1
57, 114.3712383, 22.74697943, 1072693, -4
987, 114.1151488, 22.55020013, 656820, -3
566, 113.9345508, 22.57649825, 295918.17107284925, 2
143, 113.9450728, 22.75703773, 164647.20687340733, 1
671, 114.3429519, 22.69030182, 1140965, 0
284, 114.1518071, 22.6192441, 339918.4533053846, 2
90, 114.1357787, 22.61047964, 522720, -4
805, 113.8881337, 22.46708487, 882934, 0
510, 114.4733986, 22.55212083, 642260, 0
175, 113.8605175, 22.80416164, 403904.24382172537, 0
167, 113.9560825, 22.70340427, 4016043.3543936186, 0
274, 114.0818223, 22.57645726, 986391, -1
99, 113.9032064, 22.55898151, 809725, -3
124, 114.2876146, 22.70174801, 659600, -2
471, 114.0527624, 22.63151064, 5971717.702102803, -399
103, 113.9401341, 22.68797167, 717580, -1
194, 113.833333, 22.80163876, 846653, 0
14, 113.9013678, 22.79263871, 1153138, 0
720, 113.7831902, 22.7246244, 944460, 0
83, 114.02826, 22.65797554, 1116031, -3
387, 114.4958943, 22.53713707, 1264834, 0
621, 113.9182386, 22.56843843, 1231475, -2
351, 114.1083255, 22.54846201, 1306728, -3
767, 113.8563369, 22.74696049, 1192695, 0
565, 114.3236032, 22.67782678, 378688.91655105026, 1
259, 114.001464, 22.63733905, 567525, 0
64, 114.0929666, 22.72529894, 270679.6573758549, 1
547, 113.8206971, 22.75419266, 215199.09922184783, 1
795, 113.89667, 22.77535293, 872396, -2
832, 113.7947103, 22.74241702, 435025.4954163075, 1
653, 114.1578879, 22.60869288, 223306.258357117, 1
957, 113.8825802, 22.73133707, 1085518, 0
598, 114.3326219, 22.70345535, 481102.4473091599, 2
613, 113.8824366, 22.76793183, 1178388, 0
524, 113.936617, 22.52098472, 765762, -1
87, 113.9937353, 22.54944389, 240115.31202914455, 2
