export-plot data (NetLogo 6.4.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SelfSim.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/14/2024 23:44:09:135 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w-shop-rent,w-firm-loc-rent,t-growth-upper,t-rent-afford,t-shop-closure,t-ob-increase,loss,w-growth-sizesq,max-cb-rent,w-income,w-gender,w-res-rent-acc,t-firm-move,t-purchase-afford,t-closure,t-school-decrease,t-cb-increase,w-shop-traffic,t-friend-break,w-res-purchase-price,w-move-acc,rent-prospect,w-res-purchase-acc,w-firm-loc-agg,social-network,t-flexible-purchase,w-res-rent-price,purchase-prospect,t-growth-lower,max-num-residences,t-ob-decrease,w-growth-age,w-move-agg,w-firm-loc-acc,w-move-rent,w-age,t-flexible-rent,w-growth-size,t-school-increase,min-cb-rent,t-cb-decrease,w-shop-agg,t-school-birth,w-move-space,w-growth-acc,w-education,,,,,,,,,,,,,,,,,,,,,,
0.25,-0.5,0.5,0.6,4,1.97,1.2,-0.05,0.84,0.24,0.1,0.7,2,0.6,1.2,0.5,9.8,0.19,0.5,0.6,-0.5,0,0.4,0.7,FALSE,7,0.3,0.007,-0.15,7,0.5,0.2,-0.09,0.5,0.5,0.41,1,0.2,0.7,-0.5,2,0.24,0.75,0.55,-0.05,0.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Social Demographic Attributes""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,0,360000,TRUE,"""Male""",TRUE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Male""",TRUE,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Female""",TRUE,0,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Students""",TRUE,0,1,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
