residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1340, 114.1505862, 22.60657466, 859175, 13645, 0
284, 114.3685244, 22.73435966, 1069212, 18447, 0
362, 113.8722775, 22.78509022, 2171760, 34259, 0
1227, 113.9727779, 22.56181651, 2595274, 58972, 0
415, 113.8086356, 22.70191858, 2135444, 44051, 0
292, 114.1278678, 22.55997049, 3176709, 57710, 0
1398, 114.0659307, 22.53026702, 2185506, 49870.3454, 1
330, 114.041099, 22.60560235, 2294993, 87321, 8
567, 114.2367467, 22.72324864, 1705996, 24876.70176, 0
1466, 114.0764413, 22.57903287, 3349290, 51657, 0
202, 113.8507985, 22.7636276, 2587186, 37899, 2
882, 113.9400233, 22.52891281, 3992749, 128863.51661679646, 6
1439, 114.1042978, 22.5421643, 2607538, 45528, 0
96, 113.9131014, 22.50435826, 2848185, 96686, 1
445, 114.1655823, 22.63742314, 794377, 13502, 0
753, 113.8901157, 22.57198593, 2223843, 48080, 0
1059, 114.0123941, 22.55631542, 3362691, 118696.95935121334, 6
1052, 113.8534184, 22.57260798, 2197446, 77519.64694642268, 13
722, 114.1369298, 22.56452266, 2658699, 48758, 0
106, 114.257763, 22.69628148, 2225670, 36824, 0
0, 113.93089988139226, 22.49229074840907, 2570570, 94464.64785713599, 19
345, 114.1171629, 22.58668779, 1439404, 26891, 0
1400, 114.2538351, 22.73217567, 1305208, 24926, 0
579, 114.0785332, 22.57760417, 2442771, 44467, 0
1233, 114.1287442, 22.55567899, 2256680, 45894, 0
1366, 114.025815, 22.64293203, 2257685, 34472, 0
1206, 113.9154325, 22.50045744, 2628346, 90975, 0
52, 113.9049729, 22.51545518, 2468472, 105559, 3
1251, 114.1108458, 22.61624122, 1464739, 30051, 0
297, 114.1167624, 22.56310054, 2242753, 55933, 2
39, 114.1037883, 22.55407365, 2335111, 45358, 2
548, 114.1355471, 22.55109677, 2517404, 54098.299882177926, 0
266, 113.8988418, 22.56670695, 1947113, 40543, 0
1123, 114.1012191, 22.56509162, 2538850, 60344, 0
373, 113.9523377, 22.58285798, 2437537, 52895.351841897325, 2
754, 114.0378911, 22.55018212, 2480568, 66127, 0
1161, 114.2484364, 22.73770263, 971296, 17786, 0
243, 114.1073572, 22.57132398, 2330229, 46024, 0
82, 113.8505256, 22.57003332, 2285387, 70874.20192581878, 38
587, 113.9833984, 22.68138002, 2190845, 32463, 0
1029, 114.0972235, 22.62774315, 1942993, 34921, 0
61, 114.0517272, 22.51506048, 2305630, 71262, 0
315, 114.0542598, 22.60673817, 2376239, 66878, 0
293, 114.3573882, 22.68876983, 1556397, 27648, 0
552, 114.0265208, 22.53258663, 2604830, 56307, 1
1047, 114.0669861, 22.54682441, 3239543, 66189, 0
781, 114.0607093, 22.61590083, 2104141, 38452, 0
64, 114.0320802, 22.60541612, 2415473, 71614, 1
