hid,pid,Gender,Age_group,Education,Income,license,status,Education_detailed,number,Long,Lat
1,1,1,2,2,7506,1,2,8,1,0,0
2,2,1,2,2,3068,1,2,8,4,0,0
2,3,1,3,2,11097,1,2,6,4,0,0
2,4,0,3,2,13125,0,2,6,4,0,0
2,5,0,6,4,3087,0,2,9,4,0,0
3,6,1,2,2,3068,1,2,8,4,0,0
3,7,1,3,2,11097,1,2,6,4,0,0
3,8,0,3,2,13125,0,2,6,4,0,0
3,9,0,6,4,3087,0,2,9,4,0,0
4,10,0,3,4,12431,0,2,9,1,0,0
5,11,0,3,4,12431,0,2,9,1,0,0
6,12,0,3,4,12431,0,2,9,1,0,0
7,13,0,3,4,12431,0,2,9,1,0,0
8,14,0,3,2,12015,0,2,8,1,0,0
9,15,0,3,2,12015,0,2,8,1,0,0
10,16,0,3,4,39329,1,2,10,2,0,0
10,17,1,3,4,92382,1,2,10,2,0,0
11,18,1,3,3,23306,1,2,7,1,0,0
12,19,1,3,3,23306,1,2,7,1,0,0
13,20,0,3,3,22344,0,2,7,2,0,0
13,21,1,3,4,24377,1,2,10,2,0,0
14,22,0,3,3,22344,0,2,7,2,0,0
14,23,1,3,4,24377,1,2,10,2,0,0
15,24,0,3,3,22344,0,2,7,2,0,0
15,25,1,3,4,24377,1,2,10,2,0,0
16,26,0,3,3,22344,0,2,7,2,0,0
16,27,1,3,4,24377,1,2,10,2,0,0
17,28,0,3,3,22344,0,2,7,2,0,0
17,29,1,3,4,24377,1,2,10,2,0,0
18,30,0,3,3,22344,0,2,7,2,0,0
18,31,1,3,4,24377,1,2,10,2,0,0
19,32,0,3,3,22344,0,2,7,2,0,0
19,33,1,3,4,24377,1,2,10,2,0,0
20,34,0,3,3,22344,0,2,7,2,0,0
20,35,1,3,4,24377,1,2,10,2,0,0
21,36,0,3,3,22344,0,2,7,2,0,0
21,37,1,3,4,24377,1,2,10,2,0,0
22,38,0,3,3,22344,0,2,7,2,0,0
22,39,1,3,4,24377,1,2,10,2,0,0
23,40,0,3,3,22344,0,2,7,2,0,0
23,41,1,3,4,24377,1,2,10,2,0,0
24,42,0,3,3,22344,0,2,7,2,0,0
24,43,1,3,4,24377,1,2,10,2,0,0
25,44,0,3,3,22344,0,2,7,2,0,0
25,45,1,3,4,24377,1,2,10,2,0,0
26,46,0,3,3,22344,0,2,7,2,0,0
26,47,1,3,4,24377,1,2,10,2,0,0
27,48,0,3,3,22344,0,2,7,2,0,0
27,49,1,3,4,24377,1,2,10,2,0,0
28,50,0,3,3,22344,0,2,7,2,0,0
28,51,1,3,4,24377,1,2,10,2,0,0
29,52,1,3,3,17861,1,2,7,2,0,0
29,53,0,3,2,15561,0,2,8,2,0,0
30,54,1,3,3,17861,1,2,7,2,0,0
30,55,0,3,2,15561,0,2,8,2,0,0
31,56,1,3,3,17861,1,2,7,2,0,0
31,57,0,3,2,15561,0,2,8,2,0,0
32,58,1,3,2,11084,1,2,8,1,0,0
33,59,1,3,2,11084,1,2,8,1,0,0
34,60,0,2,2,3740,1,1,8,2,0,0
34,61,1,7,1,2204,1,4,3,2,0,0
