HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
3549,114.2507345,22.72444121,114.1163171,22.68047672,0,0,0,0,0,0,0
4735,113.9620102,22.54446133,113.9303098,22.75153761,0,0,0,0,0,7,0
3512,114.2258562,22.75410679,114.1329378,22.60950451,0,0,0,0,0,0,0
7648,113.8886117,22.77684509,114.1103352,22.68648221,0,0,0,0,0,0,0
4342,114.0597696,22.52218548,114.2378371,22.71639645,0,0,0,0,0,0,0
5174,114.2304546,22.72647858,113.9379107,22.76365792,0,0,0,0,1,5,0
3884,114.1148137,22.54773635,114.1965306,22.64381334,0,0,0,0,0,0,0
7688,113.8764874,22.56452482,114.1494133,22.61039668,0,0,0,0,1,0,0
1695,114.0560976,22.60770345,114.2587965,22.73161223,0,0,0,0,1,0,0
6991,113.9013839,22.5753663,113.8947222,22.55628177,0,0,0,0,0,0,0
4767,113.9072826,22.56269528,114.2221366,22.6951384,0,0,0,0,0,0,0
4751,113.8778201,22.58583875,113.8566761,22.60489379,0,0,0,0,1,6,0
121,113.8493022,22.59437716,114.1108458,22.61624122,0,0,0,0,1,5,0
4264,114.4162602,22.63603056,113.8566761,22.60489379,0,0,0,0,0,0,0
3115,114.3284852,22.67832611,114.2025724,22.7228733,0,0,0,0,0,9,0
4380,114.1187027,22.57398636,114.2469667,22.71532731,0,0,0,0,0,2,0
2507,113.8949748,22.56749463,114.2023,22.65179365,0,0,0,0,0,0,0
5124,114.2618871,22.72814276,114.2766921,22.74216487,0,0,0,0,0,6,0
1558,114.0267685,22.56030348,114.1281902,22.61384109,0,0,0,0,0,0,0
4117,113.9310952,22.51119943,113.9027451,22.55591932,0,0,0,0,0,6,0
2291,113.8678879,22.5713629,113.9412351,22.76133931,0,0,0,0,1,3,0
5018,113.8960551,22.5573764,114.1086432,22.61121413,0,0,0,0,1,8,0
210,113.8591147,22.57989424,114.1099183,22.57313432,0,0,0,0,0,5,0
4425,113.9178804,22.50930654,114.2469667,22.71532731,0,0,0,0,0,0,0
374,114.0306166,22.56827822,113.9412351,22.76133931,0,0,0,0,0,0,0
7623,113.8998904,22.580372,113.8777133,22.59947878,0,0,0,0,1,0,0
2226,114.2293875,22.55232667,114.3475432,22.66921114,0,0,0,0,0,0,0
474,114.0623598,22.62679902,114.1965306,22.64381334,0,0,0,0,0,0,0
7541,113.934132,22.50391084,114.0634647,22.71861803,0,0,0,0,2,0,0
2324,113.8482746,22.57086139,113.9196572,22.51147003,0,0,0,0,0,0,0
5391,113.9072826,22.56269528,114.0417775,22.61856082,0,0,0,0,4,3,0
6883,113.9144555,22.49428932,113.8858823,22.49565763,0,0,0,0,0,0,0
2799,113.9049729,22.51545518,114.1234008,22.62789153,0,0,0,0,0,0,0
3723,113.8505256,22.57003332,113.8573938,22.55802078,0,0,0,0,0,0,0
1984,113.9256338,22.51572657,114.1287615,22.70342021,0,0,0,0,1,0,0
7132,113.883369,22.59400215,114.2333796,22.74669721,0,0,0,0,0,0,0
55,114.0648044,22.52783797,113.9250988,22.48714364,0,0,0,0,4,6,0
