RID,Capacity,Price,long,lat,rent
1,2,2399970.999,114.0767642,22.54745648,24802
2,58,3403946.254,113.8922297,22.54960966,34573
3,54,1462222.252,114.201737,22.70969063,16725
4,46,1693333.669,113.808973,22.73600021,17198
5,19,985043.7418,114.1369357,22.60481852,11266
6,34,1299054.816,114.3355732,22.71003255,14039
7,14,2857172.188,114.0267685,22.56030348,29527
8,0,1536532.493,114.2360187,22.58560019,15795
9,35,1771699.474,114.0252775,22.6568041,19679
10,3,4874449.952,113.9420238,22.52313946,46331
11,7,1951018.95,114.1148137,22.54773635,17597
12,22,1485237.293,114.2164448,22.72955162,16987
13,15,1606524.4,113.8417555,22.60541168,16316
14,9,1017264.799,114.2687658,22.72622812,11635
15,7,2309553.777,113.922359,22.52020784,21953
16,26,1769592.816,114.0524017,22.61619895,19656
17,8,3689072.35,113.9725439,22.55005074,35065
18,16,1110859.298,114.1368988,22.67066874,12705
19,4,3270754.511,114.0493994,22.53432696,33800
20,1,1304345.361,114.300299,22.60271959,13408
21,10,1247820.525,113.8170316,22.67345173,12674
22,1,4326689.793,113.9053774,22.48871233,41126
23,20,1373193.779,113.9032597,22.77940868,16567
24,4,1762828.276,114.1153759,22.58237572,15900
25,12,2177143.289,113.8875092,22.5816675,22113
26,33,740810.8518,114.4090079,22.63359562,8424
27,11,2966681.329,113.9282269,22.49166111,28198
28,47,1793529.133,114.0358301,22.70436869,19921
29,8,1894373.805,114.1695198,22.56610274,17086
30,10,2511720.357,113.9479352,22.56200681,23874
31,8,2165719.068,114.1354808,22.56964572,19534
32,4,4449312.989,114.0030935,22.55296292,45980
33,8,2041249.7,114.0562809,22.56726053,21094
34,5,792484.568,114.1134062,22.6121577,9064
35,41,1210161.527,114.1782169,22.65210551,13842
36,5,1855266.24,114.2325637,22.56382751,19071
37,3,555416.1534,113.9303098,22.75153761,6700
38,21,1460967.402,114.0209658,22.64238649,16228
39,19,1967791.113,114.1037883,22.55407365,17749
40,41,1288661.48,113.8652014,22.5862659,13088
41,45,1290765.314,114.2378371,22.71639645,14764
42,4,2307818.177,113.9213932,22.55326399,21936
43,4,2430956.471,113.9064691,22.57201045,24690
44,10,761011.3578,114.2874449,22.72725532,8704
45,4,2194088.696,114.0647495,22.52052762,22674
